지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),최다풍향(16방위),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
273,문경,2016-11,5.5,11.1,.7,18.6,-6.2,20161114,20161126,1002.2,1023.2,1034.6,1011.7,20161129,20161105,5.7,13.4,1.2,20161119,20161124,-2.5,61,14,20161116,26,12.5,,,20161118,,,,,,,,,1.7,6.1,11.5,290,320,20161115,20161102,290,,,155.4,50.57,,,,,,,-1.8,-9.5,20161126,8,,,,,,,,,
273,문경,2016-12,1.8,6.9,-2.9,14.5,-8.7,20161222,20161230,1003.2,1024.5,1035,1004.9,20161230,20161222,4.1,14,.8,20161222,20161216,-6.7,57,10,20161211,63.6,32.5,,,20161221,,,,,,,,,2,7.5,15.4,290,290,20161227,20161227,290,,,146,48.41,,,,,,,-6.2,-11.8,20161230,2.7,,,,,,,,,
273,문경,2017-01,-.7,4.7,-5.8,12.6,-10.7,20170108,20170117,1003.2,1024.8,1035.8,1011,20170125,20170108,3,6.9,.6,20170102,20170114,-11,49,12,20170128,6.4,2.5,,,20170129,,,,,,,,,2.5,8.5,14.5,290,320,20170120,20170114,290,,,194.9,62.91,,,,,,,-9.2,-14.8,20170124,.3,,,,,,,,,
273,문경,2017-02,.9,6.8,-4.6,14.2,-8.1,20170216,20170211,1001.2,1022.6,1033.5,1006.5,20170214,20170220,3,9.9,.9,20170217,20170202,-10.5,46,11,20170216,44.1,18.5,,,20170222,,,,,,,,,2.7,7.9,15.9,290,320,20170209,20170209,290,,,215.5,70.84,,,,,,,-8.6,-12.9,20170214,2.5,,,,,,,,,
273,문경,2017-03,6.4,12.8,.2,20.2,-4.2,20170330,20170308,998.2,1019.1,1027.8,1008.9,20170319,20170309,4,8.5,1.4,20170331,20170306,-6.8,44,9,20170317,24.3,14,,,20170325,,,,,,,,,2.3,6.8,14.1,290,290,20170307,20170309,290,,,228,61.41,,,,,,,-3.9,-9.2,20170315,8.8,,,,,,,,,
273,문경,2017-04,14.1,20.9,7.2,29.4,2.4,20170430,20170402,992.5,1012.6,1026.2,992.6,20170404,20170418,6.6,14.8,1.7,20170406,20170412,0,44,8,20170416,80.6,24.5,5.5,4,20170405,20170418,20170418,,,,,,,2.3,7.8,15.6,290,320,20170428,20170428,290,,,240.7,61.03,,,,,,,2.6,-1.8,20170404,15.8,,,,,,,,,
273,문경,2017-05,19,26.2,12.1,32.8,6.2,20170529,20170502,992,1011.8,1024.7,999.4,20170502,20170531,9.7,18.6,2.6,20170524,20170507,5.8,47,9,20170503,25,13,7,5,20170509,20170509,20170513,,,,,,,2.2,7,14.5,290,290,20170514,20170513,290,,,273.8,62.51,,,,,,,6.9,.6,20170502,24.6,,,,,,,,,
273,문경,2017-06,22.1,28.8,15.6,35.1,9.4,20170618,20170611,988.8,1008.3,1019.5,995.4,20170605,20170601,13.3,22.5,4.7,20170630,20170602,10.5,53,13,20170618,62.7,27,8.3,7,20170606,20170625,20170625,,,,,,,1.8,6.6,11.7,90,290,20170611,20170601,290,,,243.2,55.37,,,,,,,12.4,5.2,20170604,28.3,,,,,,,,,
273,문경,2017-07,25.3,29.8,21.9,34.1,16.7,20170721,20170727,988.7,1007.9,1014.6,1001,20170716,20170710,25.3,33.8,13.5,20170724,20170727,21.2,80,29,20170727,678.7,132.5,50.5,13,20170728,20170704,20170703,,,,,,,1.1,5.9,10.4,180,200,20170714,20170714,290,,,121.4,27.21,,,,,,,20.5,16.3,20170727,28,,,,,,,,,
273,문경,2017-08,24.1,29.4,20.6,36,13.6,20170806,20170831,989,1008.3,1017.7,996.8,20170827,20170809,23,32.1,9.3,20170823,20170826,19.4,77,23,20170826,211.6,56.5,18.5,8,20170815,20170824,20170824,,,,,,,1.3,5.5,11.1,320,360,20170806,20170806,320,,,150.7,35.93,0,,,,,,19.9,11.1,20170831,27.9,,,,,,,,,
273,문경,2017-09,19.3,26.1,13.7,28.9,6.5,20170908,20170930,993.5,1013.2,1025.3,1002.8,20170930,20170917,15.3,22.7,5,20170910,20170929,13,70,18,20170929,89,46.5,15,3.5,20170911,20170911,20170911,,,,,,,1.4,6.5,9.9,90,250,20170915,20170928,290,,,214.6,57.6,,,,,,,10.6,3.8,20170930,24.2,,,,,,,,,
273,문경,2017-10,14.3,20.9,9.4,28.6,-1.2,20171009,20171031,1000.6,1020.8,1029.7,1008.1,20171015,20171002,11.6,20.2,2.6,20171002,20171030,8.1,70,15,20171031,48.6,17,9.5,3,20171002,20171002,20171002,,,,,,,1.5,7.9,13.2,290,290,20171029,20171029,290,,,169.3,48.52,,,,,,,6,-6,20171031,17.1,,,,,,,,,
273,문경,2017-11,5.6,11.9,.1,20.3,-6.2,20171102,20171119,1001.6,1022.6,1030.8,1009.3,20171105,20171110,4.9,11.9,.7,20171103,20171130,-4.7,51,12,20171130,3.6,1.5,,,20171126,,,,,,,,,2.2,6.9,14.9,320,290,20171118,20171111,290,,,196.9,64.07,,,,,,,-4.3,-10.6,20171119,7.7,,,,,,,,,
273,문경,2017-12,-1.4,3.9,-6.2,10.2,-13.1,20171223,20171214,1003.7,1025.4,1034.7,1006.2,20171214,20171224,2.7,7.1,.5,20171224,20171215,-12.5,47,6,20171215,18.2,13.5,,,20171224,,,,,,,,,2.5,7.4,15.4,290,320,20171217,20171210,290,,,176.8,58.64,,,,,,,-9.5,-16.3,20171214,-.3,,,,,,,,,
273,문경,2018-01,-3.1,2,-7.2,10.3,-16.7,20180115,20180127,1001.9,1023.7,1034.8,1007.5,20180114,20180108,2.5,8,.4,20180117,20180124,-14.1,46,13,20180128,22,11,,,20180117,,,,,,,,,2.5,7.1,14.4,70,50,20180109,20180124,70,,,183.1,59.12,,,,,,,-9.5,-19,20180127,-1.1,,,,,,,,,
273,문경,2018-02,-.7,5.5,-6.3,14.2,-13.9,20180227,20180207,1001.5,1023,1030.7,997.4,20180202,20180228,2.1,7.7,.6,20180228,20180216,-15.8,35,7,20180216,29.7,28,,,20180228,,,,,,,,,2.6,8.8,16.2,70,50,20180204,20180204,70,,,206.5,67.91,,,,,,,-10.6,-19.5,20180207,.5,,,,,,,,,
273,문경,2018-03,7.9,14.7,1.6,24.5,-7.4,20180331,20180302,999.5,1020.3,1033,998.3,20180307,20180301,5.7,14.4,1.3,20180315,20180302,-1.9,54,11,20180302,116,33,,,20180319,,,,,,,,,2.1,8.5,15.3,110,110,20180320,20180301,70,,,198.6,53.53,,,,,,,-2,-10.8,20180302,8.8,,,,,,,,,
273,문경,2018-04,13.5,20.3,6.6,32.3,-.7,20180421,20180408,995.2,1015.5,1026,1003,20180413,20180414,7,15.3,1.8,20180422,20180419,.9,49,5,20180419,157.6,51,11.5,5.5,20180423,20180411,20180411,,,,,,,2.4,8.6,14.6,320,110,20180414,20180407,290,,,229.9,58.34,,,,,,,3.1,-5.9,20180408,15.4,,,,,,,,,
273,문경,2018-05,17.8,23.8,11.5,31.2,5.3,20180515,20180509,991.6,1011.5,1025.2,1000.9,20180509,20180502,12.2,25.2,2.8,20180517,20180504,9,62,13,20180504,128.1,33,7.5,3.5,20180506,20180502,20180518,,,,,,,1.9,8.5,16.3,290,320,20180503,20180503,320,,,197.8,45.17,,,,,,,8.2,1.2,20180504,21.2,,,,,,,,,
273,문경,2018-06,22.5,28.2,17.1,33.5,10.9,20180625,20180616,988.5,1007.9,1016.2,998,20180602,20180628,15.1,26.6,7.4,20180627,20180603,12.7,58,17,20180603,62.9,54.5,24,12,20180626,20180626,20180626,,,,,,,1.9,6.1,10,140,320,20180609,20180624,320,,,189.9,43.24,,,,,,,14.6,7.6,20180617,28.4,,,,,,,,,
273,문경,2018-07,26.6,32.2,21.9,37.8,13.4,20180727,20180708,989.6,1008.8,1018.3,993.2,20180709,20180704,23.5,31.3,12.9,20180711,20180707,19.9,70,27,20180729,174.2,67,19,14.5,20180702,20180704,20180704,,,,,,,1.5,5.8,10.4,290,320,20180704,20180702,320,,,220.1,49.33,,,,,,,19.8,12.1,20180708,32.9,,,,,,,,,
273,문경,2018-08,26.6,32.6,21.9,38.1,16.4,20180814,20180819,988.6,1007.7,1015,987.3,20180817,20180824,22.5,30.6,12.4,20180824,20180818,19.2,67,25,20180815,275.1,82.5,22.5,12.5,20180831,20180831,20180831,,,,,,,1.7,7.5,12.8,320,320,20180831,20180831,320,6.3,2.9,180.1,42.92,,,,,,,19.7,12.5,20180818,33.3,,,,,,,,,
273,문경,2018-09,19.2,24.7,14.5,28.8,7.1,20180904,20180925,993.9,1013.7,1024.2,993.6,20180911,20180904,15.6,25.6,6.1,20180903,20180930,13.3,71,25,20180930,164.9,65,46,17,20180904,20180904,20180904,,,,,,,1.5,6,11.5,320,290,20180930,20180930,320,6.3,3,159,42.64,,,,,,,11.7,2.6,20180925,22.5,,,,,,,,,
273,문경,2018-10,11.7,18.5,6.3,24.9,-.1,20181004,20181030,998.4,1018.8,1028.3,993.1,20181013,20181006,8.8,18.8,3.8,20181006,20181031,4.4,64,15,20181021,141.6,70.5,11.5,4.5,20181005,20181005,20181005,,,,,,,1.8,10.3,18.6,320,290,20181006,20181006,320,4.4,1.6,215.4,61.67,,,,,,,2.8,-4,20181030,14.5,,,,,,,,,
273,문경,2018-11,6.7,13.7,1.2,20.4,-4.7,20181104,20181127,1002.7,1023.7,1030.6,1007,20181102,20181108,6.1,14.1,1.1,20181108,20181123,-1.1,61,11,20181123,56,45.5,,,20181108,,,,,,,,,1.6,7.5,13.1,290,290,20181109,20181109,290,4.4,1.9,160.9,52.31,,,,,,,-2.4,-9.8,20181123,7.2,,,,,,,,,
273,문경,2018-12,-.2,5,-5,14,-13.7,20181204,20181231,1005.4,1027,1039.7,1013,20181231,20181204,3.2,12.6,.3,20181204,20181227,-11.5,46,7,20181227,32,18,,,20181204,,,,,,,,,2.3,9.1,16.1,320,320,20181207,20181223,290,4.1,1.5,176.4,58.49,,,,,,,-8.4,-18.8,20181231,.5,,,,,,,,,
273,문경,2019-01,-.1,5.1,-5.2,9.9,-10.5,20190130,20190109,1003.9,1025.5,1036.5,1016.5,20190109,20190120,2.3,5.7,.7,20190112,20190124,-13.8,38,7,20190124,.1,.1,,,20190128,,,,,,,,,2.6,9,14.1,320,290,20190108,20190108,290,3.3,1.4,207.9,67.17,,,,,,,-10.3,-16.5,20190109,.2,,,,,,,,,
273,문경,2019-02,1.9,7.5,-3.2,14.4,-7.3,20190224,20190208,1002.5,1023.8,1036.2,1008.5,20190212,20190203,3.1,9,.8,20190227,20190211,-10.6,43,11,20190204,32,16.5,,,20190203,,,,,,,,,2.2,9.4,14.3,320,320,20190207,20190204,290,5.3,1.6,192.5,63.41,,,,,,,-7.4,-11.5,20190201,2.8,,,,,,,,,
273,문경,2019-03,7.3,14.2,.7,21.7,-3.9,20190327,20190314,996.1,1016.9,1026.8,1000.5,20190308,20190321,5.2,12.9,1.9,20190321,20190314,-2.7,53,11,20190309,28.9,9,,,20190320,,,,,,,,,2.5,8.2,16.8,320,290,20190327,20190321,290,4.7,1.7,211.1,56.95,,,,,,,-3.5,-9.7,20190314,8.7,,,,,,,,,
273,문경,2019-04,12,18.5,5.3,27,-1.9,20190422,20190402,994.7,1015,1025.3,1003.8,20190403,20190424,7.7,17.8,2.2,20190424,20190402,1.6,55,12,20190416,100.5,34.5,10.5,3.5,20190409,20190409,20190409,,,,,,,2.1,7.2,13.5,290,270,20190414,20190414,320,5.3,2.3,189.2,48.04,,,,,,,1.6,-6.7,20190402,14.6,,,,,,,,,
273,문경,2019-05,18.8,26.3,10.8,32.5,3.5,20190524,20190507,991.8,1011.6,1019.5,1001.7,20190504,20190527,10.8,21.6,3.6,20190527,20190506,7.3,52,12,20190505,58.3,40.5,8.5,2,20190527,20190527,20190527,,,,,,,2.1,7.7,15.4,290,250,20190501,20190520,290,3.8,.8,278.7,63.7,,,,,,,6,-2.3,20190507,23.7,,,,,,,,,
273,문경,2019-06,21.3,27.8,15.6,33.5,10.2,20190605,20190601,987.5,1007.3,1016.9,995.4,20190625,20190615,17.1,27.6,9.7,20190627,20190602,14.9,69,24,20190613,82.5,36,9.5,3.5,20190607,20190607,20190606,,,,,,,1.5,8.9,16,320,270,20190615,20190615,320,5.6,2.3,207.2,47.17,,,,,,,13.1,6.6,20190601,27.7,,,,,,,,,
273,문경,2019-07,24.3,29.3,20.3,34.3,14.8,20190723,20190709,987.2,1006.8,1013.7,998.4,20190717,20190721,23.5,33.2,14.5,20190726,20190705,19.8,78,29,20190705,234.8,66,18.5,11.5,20190725,20190725,20190728,,,,,,,1.5,6.2,11,110,110,20190720,20190720,320,6.9,3.4,138,30.92,,,,,,,18.4,12.1,20190709,27.9,,,,,,,,,
273,문경,2019-08,25.2,31,20.6,35.5,16,20190805,20190830,987.9,1007.3,1016.5,988.6,20190831,20190815,25.3,34.6,16.3,20190809,20190823,21.1,80,47,20190830,142.2,58,20,8.5,20190827,20190827,20190817,,,,,,,1.5,6.9,11.9,320,290,20190817,20190817,320,6,2.8,190.1,45.28,,,,,,,18.1,12.2,20190830,29.7,,,,,,,,,
273,문경,2019-09,20.6,25.8,16.3,30.4,9.9,20190910,20190924,995.5,1015.5,1026.2,997.5,20190926,20190907,20.7,32.1,10.9,20190906,20190918,17.7,85,29,20190918,192.9,80.5,16.5,12.5,20190922,20190905,20190905,,,,,,,1.3,7.7,13.2,110,140,20190907,20190907,320,6.8,3.4,129.9,34.8,,,,,,,13.2,4.4,20190924,23.8,,,,,,,,,
273,문경,2019-10,14.5,21,9.3,27,1.7,20191004,20191028,998.7,1019.2,1030.7,996.8,20191015,20191003,13,25.2,5.6,20191001,20191030,10.2,78,26,20191030,125.9,91,10.5,3.5,20191002,20191002,20191002,,,,,,,1.6,7.8,13.9,290,290,20191003,20191003,320,5.1,2.3,184.4,52.73,,,,,,,5.5,-3.2,20191028,17.5,,,,,,,,,
273,문경,2019-11,7.5,14.2,1.7,23.2,-5.3,20191101,20191121,1001.7,1022.9,1035.4,1006.4,20191121,20191111,7.3,14.6,1.5,20191118,20191114,1.3,69,16,20191120,64.1,43,,,20191117,,,,,,,,,1.8,7.5,16,320,320,20191114,20191113,290,4.7,2,176.8,57.42,,,,,,,-2.8,-10.2,20191120,8.8,,,,,,,,,
273,문경,2019-12,1.1,6.4,-3.5,11,-8.1,20191217,20191206,1003.7,1025.5,1037.9,1012.4,20191206,20191217,4.3,11.6,1.2,20191217,20191206,-5.6,64,15,20191225,20.3,8.3,,,20191229,,,,,,,,,2,9.1,16.2,290,270,20191211,20191211,290,4,1.8,151.5,50.22,,,,,,,-7.6,-12.3,20191206,1.1,,,,,,,,,
273,문경,2020-01,2,6.5,-2.2,11.8,-8.7,20200108,20200101,1001.4,1023,1033.7,998.7,20200101,20200108,4.7,11.6,1.7,20200108,20200101,-4.4,64,20,20200118,61.5,43.5,,,20200107,,,,,,,,,1.9,7.4,15.4,290,290,20200108,20200108,290,5.8,3.4,130.5,42.21,,,,,,,-6.6,-11.7,20200121,1.8,,,,,,,,,
273,문경,2020-02,2.5,8,-2.5,15.8,-11.7,20200224,20200206,1002.7,1024.3,1035.9,1008.6,20200221,20200216,4.9,11.1,1.1,20200216,20200205,-4.4,64,10,20200224,71.8,39.1,,,20200225,,,,,,,,,2.1,9.4,17.9,290,270,20200222,20200222,290,4.4,2.4,178.2,56.61,,,,,,,-6.8,-14.9,20200206,3.7,,,,,,,,,
273,문경,2020-03,7.6,14.3,.9,23.4,-4.3,20200321,20200306,996,1017.1,1028.1,1001.6,20200303,20200319,5.7,16,1.8,20200327,20200306,-2,55,12,20200313,15.4,6.6,,,20200310,,,,,,,,,2.5,12.7,23,290,290,20200319,20200319,290,3.7,1.6,237.3,63.86,,,,,,,-4.3,-10.3,20200306,9.7,,,,,,,,,
273,문경,2020-04,10.9,17.6,4.2,26.5,-1.8,20200430,20200405,995.6,1016.3,1027,1004.7,20200410,20200425,5.9,14.8,1.7,20200430,20200405,-1.6,47,10,20200414,28.7,16,4.9,2,20200419,20200417,20200417,,,,,,,2.6,9.4,19.5,290,270,20200421,20200423,290,3.4,1.3,265.8,67.38,,,,,,,-1.1,-7.2,20200405,14.8,,,,,,,,,
273,문경,2020-05,17.4,23.5,11.5,30.6,5.3,20200501,20200520,989.9,1010,1020.9,995.7,20200507,20200518,13.5,20.8,5.8,20200517,20200507,11,70,21,20200507,129.3,44.5,15,5.2,20200509,20200518,20200518,,,,,,,1.8,6.2,11.3,90,290,20200506,20200513,290,5.9,2.9,219.2,50.01,,,,,,,8.2,1.7,20200507,21.3,,,,,,,,,
273,문경,2020-06,22.8,28.4,17.6,34,12.6,20200609,20200602,986.2,1005.8,1015.5,987,20200609,20200630,19.8,30,8,20200612,20200601,17.1,73,24,20200601,175.9,67.4,18.8,5.2,20200629,20200629,20200629,,,,,,,1.5,6.9,13.3,90,270,20200629,20200601,290,6,2.6,208.3,47.43,,,,,,,15.1,8.8,20200602,27.5,,,,,,,,,
273,문경,2020-07,21.9,25.7,19,30.5,15.6,20200709,20200702,987.2,1006.9,1015.2,997.1,20200731,20200724,23,30.9,17.4,20200731,20200718,19.7,88,47,20200708,595.7,103.7,32,13.2,20200713,20200730,20200730,,,,,,,1.1,5.5,9.2,90,90,20200723,20200723,110,7.7,4.9,103.2,23.14,,,,,,,18.2,13.4,20200702,24.8,,,,,,,,,
273,문경,2020-08,25.7,30.2,22.5,33.2,20.3,20200820,20200824,989.3,1008.8,1015.2,999.4,20200821,20200827,29,35,22.8,20200809,20200823,23.5,89,49,20200819,454.4,80,47.5,15.5,20200802,20200802,20200802,,,,,,,1,6.3,11.6,110,90,20200826,20200826,320,6.9,4.4,126.2,30.1,,,,,,,21.7,19.6,20200824,27.9,,,,,,,,,
273,문경,2020-09,19,24.5,14.8,28.2,9.2,20200901,20200921,991.7,1011.7,1020.3,972.6,20200922,20200903,18.2,29.7,10.3,20200902,20200920,15.7,83,37,20200921,118.4,31.9,9.7,3.9,20200903,20200903,20200902,,,,,,,1.3,11.3,19.9,290,270,20200907,20200903,320,6.2,3.1,145.2,39.01,,,,,,,12.7,5.5,20200928,22.3,,,,,,,,,
273,문경,2020-10,12.8,19.4,6.9,24.4,1.9,20201002,20201030,999.6,1020.2,1029.2,1008.6,20201031,20201004,10.1,19.6,3.7,20201003,20201024,6.5,69,23,20201015,1.7,1.2,1.1,.5,20201003,20201003,20201003,,,,,,,1.7,9.3,14,290,270,20201023,20201023,290,4.3,1.6,222.8,63.89,,,,,,,1.7,-4.9,20201024,15.9,,,,,,,,,
273,문경,2020-11,7.5,12.9,2.4,19.6,-2.7,20201119,20201129,1003.3,1024.5,1035.9,1002.9,20201130,20201119,6.9,20.9,1.9,20201119,20201104,.2,63,13,20201108,38.4,28.6,,,20201119,,,,,,,,,2,7.9,15.8,290,320,20201103,20201103,290,4.2,2.6,170.2,55.39,,,,,,,-2.4,-9.6,20201130,8.3,,,,,,,,,
273,문경,2020-12,-.5,4.9,-5.2,10.7,-13.3,20201211,20201231,1003.8,1025.7,1037.1,1014.1,20201201,20201213,3.4,7.5,.6,20201211,20201216,-9,56,14,20201216,3.2,3.2,,,20201213,,,,,,,,,2.3,9.4,15.1,290,340,20201230,20201219,290,3.4,1.3,177.4,58.84,,,,,,,-11,-16.4,20201217,-.2,,,,,,,,,
273,문경,2021-01,-2.2,3.4,-7.4,11.9,-16.7,20210115,20210108,1002.2,1024.2,1034.7,1010.6,20210103,20210128,3.4,9.9,.6,20210122,20210107,-10.1,58,17,20210114,13.4,2.9,,,20210126,,,,,,,,,2.3,9.8,18.6,290,290,20210107,20210107,290,3.9,1.8,170.2,54.94,,,,,,,-12.4,-19.1,20210110,-.9,,,,,,,,,
273,문경,2021-02,2.7,8.9,-3.3,22.4,-10.5,20210221,20210218,999.1,1020.6,1032.1,1006.5,20210227,20210215,4.1,9.8,1.1,20210214,20210202,-7,52,15,20210223,10.7,8.6,,,20210201,,,,,,,,,2.6,8.8,18.7,290,290,20210215,20210215,290,3.4,1.3,205.9,67.69,,,,,,,-9.1,-15.3,20210203,3,,,,,,,,,
273,문경,2021-03,8.5,14.4,2.5,22.3,-3.4,20210326,20210303,998.2,1019.3,1033.2,999.5,20210303,20210328,6.7,14.3,2.7,20210328,20210324,.7,64,13,20210326,107.1,48,,,20210301,,,,,,,,,1.9,8.4,16.7,290,250,20210322,20210321,290,4.9,2.7,191.5,51.58,,,,,,,-3.4,-10.3,20210303,9.3,,,,,,,,,
